sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
388,0.6395406723022461,12,Long (12-14),2,0,1,1,27.502132,27.611845,-0.1097126
389,0.8976781964302063,8,Short (<=8),2,0,1,1,26.878918,27.296717,-0.417799
390,0.886398434638977,5,Short (<=8),3,0,1,1,27.404219,27.738255,-0.33403587
391,0.8173487186431885,16,Very Long (>14),1,1,1,1,29.82971,26.478313,3.3513966
392,0.8773807287216187,6,Short (<=8),79,0,0,0,23.330698,27.0662,-3.7355022
393,0.8585803508758545,9,Medium (9-11),8,0,0,1,26.56039,28.427732,-1.867342
394,0.9015353918075562,8,Short (<=8),4,0,1,1,27.595955,29.522467,-1.9265118
395,0.5100926756858826,16,Very Long (>14),1,1,1,1,31.52681,27.0446,4.48221
396,0.7198304533958435,13,Long (12-14),2,0,1,1,30.280838,31.106222,-0.82538414
397,0.9072980880737305,6,Short (<=8),1,1,1,1,29.8275,28.61524,1.2122593
398,0.573734700679779,11,Medium (9-11),2,0,1,1,30.3123,36.49997,-6.1876698
399,0.7294280529022217,10,Medium (9-11),1,1,1,1,30.080765,25.374424,4.706341
400,0.7200595736503601,12,Long (12-14),1,1,1,1,28.140545,27.778934,0.3616104
401,0.6800514459609985,8,Short (<=8),1,1,1,1,30.267849,27.818823,2.449026
402,0.8017295598983765,11,Medium (9-11),1,1,1,1,29.935425,27.1656,2.769825
403,0.7799146771430969,12,Long (12-14),2,0,1,1,28.136911,29.164791,-1.0278797
404,0.8601709604263306,12,Long (12-14),6,0,0,1,26.306204,29.446012,-3.1398087
405,0.7606021761894226,10,Medium (9-11),1,1,1,1,29.283642,27.140823,2.1428185
406,0.8711230158805847,13,Long (12-14),4,0,1,1,26.565985,26.974117,-0.40813255
407,0.7742341160774231,15,Very Long (>14),1,1,1,1,29.118002,27.246662,1.8713398
408,0.6888798475265503,14,Long (12-14),1,1,1,1,28.1584,25.515377,2.6430225
409,0.8203698992729187,10,Medium (9-11),6,0,0,1,24.946726,28.322327,-3.3756008
410,0.7941468358039856,9,Medium (9-11),1,1,1,1,29.968176,29.197994,0.77018166
411,0.851949155330658,12,Long (12-14),1,1,1,1,30.057312,27.265743,2.7915688
412,0.702393114566803,19,Very Long (>14),9,0,0,1,25.876825,27.923742,-2.046917
413,0.7715300917625427,12,Long (12-14),1,1,1,1,29.597286,29.114012,0.48327446
414,0.858979344367981,6,Short (<=8),9,0,0,1,25.747036,29.730272,-3.9832363
415,0.6608242392539978,9,Medium (9-11),2,0,1,1,25.919014,26.256666,-0.3376522
416,0.8688898682594299,8,Short (<=8),3,0,1,1,27.974636,28.332073,-0.35743713
417,0.8370413780212402,7,Short (<=8),19,0,0,0,24.776808,29.258589,-4.481781
418,0.6248164772987366,20,Very Long (>14),1,1,1,1,30.195564,28.513708,1.6818562
419,0.8976858854293823,5,Short (<=8),6,0,0,1,27.306038,27.972645,-0.6666069
420,0.860946536064148,6,Short (<=8),4,0,1,1,27.216507,30.81265,-3.5961437
421,0.8634639978408813,9,Medium (9-11),1,1,1,1,30.289295,25.890373,4.398922
