sink_q_in_group,R1,R5,R10,rank,margin,n,length_group
Q1(low),0.421875,0.734375,0.859375,7.0,0.07925454,64,Short (<=8)
Q2,0.34375,0.6875,0.8125,18.046875,-0.753289,64,Short (<=8)
Q3,0.3125,0.53125,0.703125,25.625,-0.92797804,64,Short (<=8)
Q4(high),0.1875,0.40625,0.578125,45.765625,-1.5195855,64,Short (<=8)
Q1(low),0.525,0.8125,0.8875,13.75,0.67008555,80,Medium (9-11)
Q2,0.3670886075949367,0.6329113924050633,0.759493670886076,16.455696202531644,-0.6467136,79,Medium (9-11)
Q3,0.3670886075949367,0.6329113924050633,0.759493670886076,14.810126582278482,-0.8961289,79,Medium (9-11)
Q4(high),0.34177215189873417,0.5569620253164557,0.6455696202531646,18.860759493670887,-1.0907463,79,Medium (9-11)
Q1(low),0.6428571428571429,0.8928571428571429,0.9285714285714286,5.339285714285714,1.4469877,56,Long (12-14)
Q2,0.5714285714285714,0.875,0.9642857142857143,4.571428571428571,0.6899635,56,Long (12-14)
Q3,0.44642857142857145,0.6607142857142857,0.8035714285714286,18.660714285714285,-0.53364587,56,Long (12-14)
Q4(high),0.44642857142857145,0.7321428571428571,0.8928571428571429,11.928571428571429,-0.15035343,56,Long (12-14)
Q1(low),0.7647058823529411,0.8823529411764706,0.9411764705882353,2.7450980392156863,2.5368855,51,Very Long (>14)
Q2,0.6666666666666666,0.8627450980392157,0.9411764705882353,3.4901960784313726,1.2199625,51,Very Long (>14)
Q3,0.62,0.86,0.92,8.4,1.0159307,50,Very Long (>14)
Q4(high),0.49019607843137253,0.8627450980392157,0.9411764705882353,4.529411764705882,0.095537335,51,Very Long (>14)
