length_group,R1,R5,R10,rank,margin,n
Short (<=8),0.31640625,0.58984375,0.73828125,24.109375,-0.7803994,256
Medium (9-11),0.40063091482649843,0.6593059936908517,0.7634069400630915,15.962145110410095,-0.48721343,317
Long (12-14),0.5267857142857143,0.7901785714285714,0.8973214285714286,10.125,0.36323753,224
Very Long (>14),0.6354679802955665,0.8669950738916257,0.9359605911330049,4.773399014778325,1.2180696,203
