sink_quantile,R1,R5,R10,rank,margin,n
Q1(low),0.675,0.885,0.935,5.14,1.5225132,200
Q2,0.54,0.825,0.91,8.03,0.6955086,200
Q3,0.405,0.665,0.81,15.745,-0.48293912,200
Q4,0.365,0.67,0.785,16.195,-0.77056473,200
Q5(high),0.29,0.52,0.67,27.235,-1.0924957,200
