length_group,R1,R5,R10,rank,margin,n
Short (<=8),0.30859375,0.58984375,0.7265625,22.9296875,-0.7439563,256
Medium (9-11),0.4069400630914827,0.6498422712933754,0.7476340694006309,16.176656151419557,-0.50451744,317
Long (12-14),0.53125,0.7901785714285714,0.8928571428571429,10.334821428571429,0.30169973,224
Very Long (>14),0.6108374384236454,0.8472906403940886,0.9261083743842364,5.428571428571429,1.2000799,203
