sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
362,0.5643872022628784,23,Very Long (>14),1,1,1,1,27.594131,26.106913,1.4872189
363,0.7379145622253418,21,Very Long (>14),1,1,1,1,30.175537,27.890327,2.2852097
364,0.7488327026367188,11,Medium (9-11),1,1,1,1,28.502113,27.83487,0.66724396
365,0.5846325159072876,19,Very Long (>14),9,0,0,1,26.315159,28.246897,-1.9317379
366,0.8071911931037903,10,Medium (9-11),1,1,1,1,32.554245,27.0343,5.519945
367,0.7406390905380249,6,Short (<=8),48,0,0,0,24.38547,28.449615,-4.064146
368,0.8033766746520996,9,Medium (9-11),2,0,1,1,28.466303,28.747252,-0.28094864
369,0.6803425550460815,16,Very Long (>14),1,1,1,1,29.698112,27.946636,1.7514763
370,0.78946453332901,10,Medium (9-11),1,1,1,1,29.746517,28.66045,1.0860672
371,0.7376876473426819,10,Medium (9-11),1,1,1,1,35.674168,26.36978,9.304388
372,0.6821219325065613,13,Long (12-14),1,1,1,1,30.755896,27.5241,3.2317963
373,0.8328713178634644,9,Medium (9-11),4,0,1,1,27.734787,28.925886,-1.1910992
374,0.7232314944267273,7,Short (<=8),17,0,0,0,24.735954,26.470053,-1.7340984
375,0.4855544865131378,14,Long (12-14),1,1,1,1,33.233402,29.330265,3.9031372
376,0.7346718907356262,16,Very Long (>14),1,1,1,1,29.69361,27.103535,2.5900745
377,0.7153578400611877,16,Very Long (>14),1,1,1,1,33.37257,27.624496,5.7480736
378,0.8079397678375244,10,Medium (9-11),4,0,1,1,28.728794,29.74079,-1.0119953
379,0.7633746266365051,8,Short (<=8),6,0,0,1,25.832224,26.772339,-0.940115
380,0.5705146789550781,19,Very Long (>14),1,1,1,1,28.976011,26.245598,2.7304134
381,0.7894322276115417,13,Long (12-14),80,0,0,0,22.396215,28.885061,-6.488846
382,0.646560788154602,9,Medium (9-11),1,1,1,1,31.656528,29.031225,2.6253033
383,0.7176254987716675,15,Very Long (>14),2,0,1,1,28.272871,29.54092,-1.2680492
384,0.7995961308479309,11,Medium (9-11),156,0,0,0,21.141632,28.36422,-7.2225876
385,0.650481104850769,10,Medium (9-11),2,0,1,1,28.01264,30.50043,-2.4877892
386,0.8162821531295776,9,Medium (9-11),1,1,1,1,30.13131,30.10265,0.02865982
387,0.7313165664672852,9,Medium (9-11),2,0,1,1,29.01214,30.211454,-1.1993141
388,0.6393587589263916,12,Long (12-14),1,1,1,1,27.999788,27.551907,0.4478817
389,0.9074736833572388,8,Short (<=8),2,0,1,1,27.235504,27.48622,-0.25071526
390,0.8825822472572327,5,Short (<=8),1,1,1,1,27.87493,27.836159,0.038770676
391,0.8347483277320862,16,Very Long (>14),1,1,1,1,30.513182,27.151388,3.3617935
392,0.8546298742294312,6,Short (<=8),88,0,0,0,23.05489,27.264732,-4.2098427
393,0.8501055240631104,9,Medium (9-11),7,0,0,1,26.895077,28.284952,-1.3898754
394,0.8971163630485535,8,Short (<=8),6,0,0,1,26.807657,30.401325,-3.593668
395,0.5143046975135803,16,Very Long (>14),1,1,1,1,31.390297,26.441298,4.9489994
396,0.7228824496269226,13,Long (12-14),2,0,1,1,30.335363,31.21011,-0.8747463
397,0.8948835134506226,6,Short (<=8),1,1,1,1,29.743267,28.57592,1.167347
398,0.571598470211029,11,Medium (9-11),2,0,1,1,29.919783,35.20388,-5.2840977
399,0.7367621064186096,10,Medium (9-11),1,1,1,1,30.4342,25.116993,5.3172073
400,0.7188617587089539,12,Long (12-14),2,0,1,1,27.333706,28.11712,-0.78341484
401,0.6963748931884766,8,Short (<=8),1,1,1,1,30.71711,28.098389,2.618721
402,0.8065624237060547,11,Medium (9-11),1,1,1,1,29.99903,27.244053,2.7549763
